cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.523079991341,0,-0.20000000298,0,0,-0.20000000298,0,-0.20000000298,0,-0.52308,0,-0.52308,0,0,-0.00421921584824,-5.42478037477,0,-0.2,0,0,-0.52308,0,-1.45471412694e-11,3.63679208488e-09,-0.52308,-0.523080000011,-1.6448834841e-08,0,-0.568208155631,-0.00188033981794,-0.0451281556307,-0.00188033981794,5.19833872031,-0.2,-5.42478037477,-0.52308,-0.00421921584824,0,-0.00421921584824,0,0,0,4,0
0,0,2,0.778850018978,0,0.20000000298,0,0,0.20000000298,-0,0.20000000298,0,0.77885,0,0.77885,0,0,0.00527401081489,1.41891908035,0,0.2,0,0,0.77885,0,1.81838988311e-11,-4.54597841752e-09,0.77885,0.778850000014,2.05610084822e-08,0,0.790653832904,0.000491826371007,0.0118038329042,0.000491826371007,-4.87277582942,0.2,1.41891908035,0.77885,0.00527401081489,0,0.00527401081489,0,0,0,4,0
1,0.002,1,-0.523083269596,0,-0.40000000596,0,0,-0.40000000596,0,-0.40000000596,0,-0.523080000011,-1.6448834841e-08,-0.523083274457,-0.00163722857486,-5.03693091969e-06,-0.00239534266574,-5.42479237927,0.00857899415888,-0.4,0,0,-0.523059206645,0.0103966774406,-3.24645865746e-11,8.11614846324e-09,-0.523083274457,-0.523080000085,-6.1231497558e-08,-0.00163722857486,-0.568208255506,-0.00188036042779,-0.0451249810488,-0.000243131852923,4.98869610093,-0.4,-5.41621338512,-0.523088311388,-0.0040325712406,-5.03693091969e-06,-0.00239534266574,3.27444607284e-06,0.00163721212603,0,4,0
1,0.002,2,0.778856277466,0,0.40000000596,0,0,0.40000000596,-0,0.40000000596,0,0.778850000014,2.05610084822e-08,0.778856258709,0.00312935455325,4.13050826031e-06,0.00191135090002,1.41892283044,-0.0163977133925,0.4,0,0,0.778830508897,-0.00974555165884,4.05807609738e-11,-1.01451883228e-08,0.778856258709,0.778850000106,7.65392414016e-08,0.00312935455325,0.790653864115,0.000491848231872,0.0117976054055,-0.00263750632138,-4.03394709791,0.4,1.40252511705,0.778860389217,0.00504070545327,4.13050826031e-06,0.00191135090002,-6.25869526039e-06,-0.00312933399224,0,4,0
2,0.004,1,-0.523093044758,0,-0.600000023842,0,0,-0.600000023842,0,-0.600000023842,0,-0.523080000085,-6.1231497558e-08,-0.523093059376,-0.00489245966379,-2.86283431128e-06,0.00135890351999,-5.42479958952,0.0260291071576,-0.6,-2.04576402264e-05,-0.00255720502829,-0.523018458506,0.0203740696425,-4.19734247359e-11,1.04933563737e-08,-0.523093059376,-0.523080000267,-1.226475871e-07,-0.00489245966379,-0.568196657897,-0.00187992197367,-0.0451035985205,0.00301253769012,4.78202241781,-0.6,-5.39736913401,-0.523095922211,-0.0035335561438,-2.86283431128e-06,0.00135890351999,1.30592916343e-05,0.00489239843229,-0.0014013483555,4,0
2,0.004,2,0.77887493372,0,0.600000023842,0,0,0.600000023842,-0,0.600000023842,0,0.778850000106,7.65392414016e-08,0.778874946864,0.00934407737879,-5.04413432456e-06,-0.00492713973262,1.41892511569,-0.049713615135,0.6,2.18873405606e-05,0.00273591757007,0.778794882005,-0.0178134458547,5.24665866308e-11,-1.31166453122e-08,0.778874946864,0.778850000334,1.5330922239e-07,0.00934407737879,0.790641410847,0.000491385320128,0.0117664639835,-0.00885269205867,-3.21286377501,0.6,1.36771221772,0.77886990273,0.00441693764617,-5.04413432456e-06,-0.00492713973262,-2.49467578106e-05,-0.00934400083955,0.0014992828284,4,0
3,0.006,1,-0.523112535477,0,-0.800000011921,0,0,-0.800000011921,0,-0.800000011921,0,-0.523080000267,-1.226475871e-07,-0.523112552772,-0.00974669778685,1.02582032834e-05,0.00693898178386,-5.42480030484,0.0526391762811,-0.8,-4.90903918885e-05,-0.00520931216331,-0.522984154327,0.0273809094498,-4.07868183672e-11,1.01966985532e-08,-0.523112552772,-0.523080000576,-1.85062752546e-07,-0.00974669778685,-0.568184203579,-0.00187946445223,-0.0450716508066,0.00786723333462,4.57861695599,-0.8,-5.36926193012,-0.523102294569,-0.002807716003,1.02582032834e-05,0.00693898178386,3.2552504873e-05,0.00974657513927,-0.00289919843299,4,0
3,0.006,2,0.778912127018,0,0.800000011921,0,0,0.800000011921,-0,0.800000011921,0,0.778850000334,1.5330922239e-07,0.778912148329,0.0186007325573,-3.42801655513e-05,-0.0150910935396,1.41892539603,-0.100460655641,0.8,5.2733991665e-05,0.00559997883898,0.778773762834,-0.0215032558346,5.09834396922e-11,-1.27458711988e-08,0.778912148329,0.77885000072,2.31328046127e-07,0.0186007325573,0.790627960841,0.000490901663699,0.0117158125124,-0.0181098308936,-2.41020914442,0.8,1.31534834702,0.778877868163,0.00350963901767,-3.42801655513e-05,-0.0150910935396,-6.21479950066e-05,-0.0186005792481,0.00311639336948,4,0
4,0.008,1,-0.523144900799,0,-1,0,0,-1,0,-1,0,-0.523080000576,-1.85062752546e-07,-0.523144915086,-0.0161811571736,3.786120975e-05,0.0142483377689,-5.42479400029,0.0886946017872,-1,-7.47754038349e-05,-0.00756403452758,-0.522970587057,0.0313288311985,-2.84383627758e-11,7.10958723709e-09,-0.523144915086,-0.523080000997,-2.31712083585e-07,-0.0161811571736,-0.568173075077,-0.00187906316695,-0.0450281599904,0.0143020940067,4.37822466606,-1,-5.33186872881,-0.523107053877,-0.00193281940471,3.786120975e-05,0.0142483377689,6.49145102749e-05,0.0161809721108,-0.0042306696868,4,0
4,0.008,2,0.77897387743,0,1,0,0,1,-0,1,0,0.77885000072,2.31328046127e-07,0.778973861097,0.0308563838328,-9.00438085132e-05,-0.0284403636977,1.41892349354,-0.169144007703,1,8.07138766817e-05,0.00817209885584,0.778785049435,-0.0207236952845,3.55477869363e-11,-8.88695352831e-09,0.778973861097,0.778850001246,2.89639610469e-07,0.0308563838328,0.790615850239,0.000490475057978,0.0116419891419,-0.0303659087749,-1.62477602958,1,1.24520915315,0.778883817288,0.00241602013509,-9.00438085132e-05,-0.0284403636977,-0.000123860376491,-0.0308561525048,0.00457033268801,4,0
5,0.01,1,-0.523193240166,0,-1.20000004768,0,0,-1.20000004768,0,-1.20000004768,0,-0.523080000997,-2.31712083585e-07,-0.523193269573,-0.0241772431982,8.32962634089e-05,0.0231983851214,-5.42478114414,0.134477286539,-1.2,-9.58360425998e-05,-0.00962312037109,-0.522980319968,0.032521246003,-5.98521232575e-12,1.49630517091e-09,-0.523193269573,-0.523080001482,-2.47060544964e-07,-0.0241772431982,-0.568163352687,-0.00187870469916,-0.0449700831138,0.0222985384991,4.18055864624,-1.2,-5.28491728116,-0.523109973309,-0.000978858076791,8.32962634089e-05,0.0231983851214,0.000113268575905,0.0241770114861,-0.00538657644115,4,0
