cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-5.94111394882,0,0,-5.94111394882,0,-5.94111394882,-5.94111394882,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-5.94111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.449477884534,-0.00125587465848,-0.0494778845339,-0.00125587465848,-2.38760571873,-5.94111376805,-5.94111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,2.4,0,0
0,0,2,0.829999983311,0,4.54795742035,0,0,4.54795742035,0,4.54795742035,4.54795742035,300,0,0.83,1.51420361176e-05,0.83,0,0,1.51420361176e-05,1.64289703937,6.05681444702e-05,4.54795760751,0.83,0,0,0,-5.89155280117e-10,1.47288806753e-07,0.83,0.830000029828,1.44722008942e-05,0,0.894758501374,0.00371562782893,0.0647585013743,0.00371562782893,11.6131478479,4.54795760751,4.54795760751,0.83,1.51420361176e-05,0,1.51420361176e-05,0,1.51420361176e-05,-2.905,0,0
1,0.002,1,-0.400087952614,0,-3.52505135536,0,0,-3.52505135536,0,-3.52505135536,-3.52505135536,200,0,-0.400000037285,-1.80902511074e-05,-0.400087962424,-0.0439812121086,8.79251390489e-05,0.0439631218575,-3.54046428153,0.0154129400839,-3.52505134144,0,0,-0.400009550423,-0.00477521143746,1.62606894616e-09,-4.06517237053e-07,-0.400009550423,-0.400000071428,-1.58516524891e-05,-0.00477521143746,-0.429485477898,-0.000755226266416,-0.0294759274746,0.00401998517105,0.0211313176399,-3.52505134144,-3.52505134144,-0.400000037285,-1.80902511074e-05,8.79251390489e-05,0.0439631218575,8.79251390489e-05,0.0439631218575,-0,0,0
1,0.002,2,0.830150008202,0,1.54668164253,0,0,1.54668164253,0,1.54668164253,1.54668164253,300,0,0.830000029828,1.44722008942e-05,0.830150016493,0.0750082465674,-0.000149986665,-0.0749937743666,1.64277853917,-0.0960968874073,1.54668165176,0,0,0.830046452591,0.0232262956957,-1.30085520134e-09,3.25213798363e-07,0.830046452591,0.830000057142,1.26813219984e-05,0.0232262956957,0.853391913014,0.00135115124009,0.0233454604226,-0.0218751444556,-0.478489925113,1.54668165176,1.54668165176,0.830000029828,1.44722008942e-05,-0.000149986665,-0.0749937743666,-0.000149986665,-0.0749937743666,-0,0,0
2,0.004,1,-0.400219202042,0,-3.52282762527,0,0,-3.52282762527,0,-3.52282762527,-3.52282762527,200,0,-0.400000071428,-1.58516524891e-05,-0.40021920075,-0.065619163108,0.000219129322857,0.0656033114555,-3.54003132749,0.0173562131734,-3.52282754724,-1.88188803221e-06,-0.000235236004027,-0.40001901632,-0.00473294880218,2.26373031431e-09,-5.65932581281e-07,-0.400020898209,-0.400000100014,-1.25955090443e-05,-0.00496818480621,-0.429483175824,-0.000752929262403,-0.0294622776156,0.00421525554381,0.0237115260938,-3.52282754724,-3.52282754724,-0.400000071428,-1.58516524891e-05,0.000219129322857,0.0656033114555,0.000219129322857,0.0656033114555,0.000152432930609,0,0
2,0.004,2,0.830359280109,0,1.54655361176,0,0,1.54655361176,0,1.54655361176,1.54655361176,300,0,0.830000057142,1.26813219984e-05,0.83035930775,0.104645628645,-0.000359250608364,-0.104632947323,1.64269100294,-0.0963074286569,1.54655362621,1.24276682092e-06,0.000207127803487,0.830090991223,0.0222693158455,-1.81098425145e-09,4.52746070602e-07,0.83009223399,0.830000080011,1.00764072409e-05,0.022476443649,0.853393115287,0.00134942750171,0.0233008812971,-0.0211270161473,-0.476798321618,1.54655362621,1.54655362621,0.830000057142,1.26813219984e-05,-0.000359250608364,-0.104632947323,-0.000359250608364,-0.104632947323,-0.000170051926663,0,0
3,0.006,1,-0.400393247604,0,-3.51917099953,0,0,-3.51917099953,0,-3.51917099953,-3.51917099953,200,0,-0.400000100014,-1.25955090443e-05,-0.40039326061,-0.0870299298284,0.0003931605959,0.0870173343194,-3.53974385925,0.0209676823433,-3.51917093593,-6.58469239737e-06,-0.000592084793717,-0.400030739732,-0.00492076175402,2.67268651655e-09,-6.68171625637e-07,-0.400037324424,-0.400000121365,-8.67069328498e-06,-0.00551284654774,-0.429482828461,-0.00074966372022,-0.0294455040368,0.00476318282752,0.0281458267049,-3.51917093593,-3.51917093593,-0.400000100014,-1.25955090443e-05,0.0003931605959,0.0870173343194,0.0003931605959,0.0870173343194,0.000394759030614,0,0
3,0.006,2,0.830626964569,0,1.54512131214,0,0,1.54512131214,0,1.54512131214,1.54512131214,300,0,0.830000080011,1.00764072409e-05,0.830626982324,0.133837286711,-0.000626902312495,-0.133827210304,1.64263182031,-0.0979513031857,1.54512132651,4.42279661077e-06,0.000531661987402,0.830135279684,0.0215228470057,-2.13814910222e-09,5.34537277159e-07,0.830139702481,0.830000097092,6.93655463142e-06,0.0220545089931,0.853396150817,0.00134699473897,0.0232564483361,-0.0207075142542,-0.48166086464,1.54512132651,1.54512132651,0.830000080011,1.00764072409e-05,-0.000626902312495,-0.133827210304,-0.000626902312495,-0.133827210304,-0.000440809378059,0,0
4,0.008,1,-0.40060967207,0,-3.51321578026,0,0,-3.51321578026,0,-3.51321578026,-3.51321578026,200,0,-0.400000121365,-8.67069328498e-06,-0.400609669772,-0.108204581185,0.000609548407854,0.108195910492,-3.53958758923,0.0270994216136,-3.51321580019,-1.49296200816e-05,-0.00106342474959,-0.400048237534,-0.00545655489433,2.87619544848e-09,-7.19048855813e-07,-0.400063167154,-0.400000134461,-4.39119047184e-06,-0.00651997964392,-0.429484320588,-0.00074577567388,-0.0294211534341,0.00577420397004,0.0354729230134,-3.51321580019,-3.51321580019,-0.400000121365,-8.67069328498e-06,0.000609548407854,0.108195910492,0.000609548407854,0.108195910492,0.000727632570243,0,0
4,0.008,2,0.830952107906,0,1.54176104069,0,0,1.54176104069,0,1.54176104069,1.54176104069,300,0,0.830000097092,6.93655463142e-06,0.830952116986,0.162567330913,-0.000952019893988,-0.162560394358,1.64259835557,-0.101647504623,1.54176101478,1.01816987984e-05,0.000968159858526,0.830181884855,0.0210911872639,-2.30095642539e-09,5.75239095341e-07,0.830192066554,0.830000107569,3.51295237871e-06,0.0220593471224,0.853400950704,0.00134412818962,0.0232088841502,-0.0207152189328,-0.496021870105,1.54176101478,1.54176101478,0.830000097092,6.93655463142e-06,-0.000952019893988,-0.162560394358,-0.000952019893988,-0.162560394358,-0.000810163832615,0,0
