cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-2.34111380577,0,0,-2.34111380577,0,-2.34111380577,-2.34111380577,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-2.34111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.419496622822,-0.000506343115698,-0.0194966228225,-0.000506343115698,1.19417975596,-2.34111376805,-2.34111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,-1.2,0,0
0,0,2,0.829999983311,0,0.190457612276,0,0,0.190457612276,0,0.190457612276,0.190457612276,300,0,0.83,1.51420361176e-05,0.83,0,0,1.51420361176e-05,1.64289703937,6.05681444702e-05,0.190457607515,0.83,0,0,0,-5.89155280117e-10,1.47288806753e-07,0.83,0.830000029828,1.44722008942e-05,0,0.832711105117,0.000170062328526,0.00271110511715,0.000170062328526,-5.80651184215,0.190457607515,0.190457607515,0.83,1.51420361176e-05,0,1.51420361176e-05,0,1.51420361176e-05,1.4525,0,0
1,0.002,1,-0.4000236094,0,-3.54826140404,0,0,-3.54826140404,0,-3.54826140404,-3.54826140404,200,0,-0.400000037285,-1.80902511074e-05,-0.400023617408,-0.0118087040675,2.35801229667e-05,0.0117906138164,-3.54046428153,-0.00779702979212,-3.54826131132,0,0,-0.399995223281,0.00238835951192,1.62606894616e-09,-4.06517237053e-07,-0.399995223281,-0.400000071428,-1.58516524891e-05,0.00238835951192,-0.429485477898,-0.000755226266416,-0.0294902546165,-0.00314358577833,-0.00931033664912,-3.54826131132,-3.54826131132,-0.400000037285,-1.80902511074e-05,2.35801229667e-05,0.0117906138164,2.35801229667e-05,0.0117906138164,0,0,0
1,0.002,2,0.830020725727,0,1.69091641903,0,0,1.69091641903,0,1.69091641903,1.69091641903,300,0,0.830000029828,1.44722008942e-05,0.830020709982,0.010354990955,-2.06801537753e-05,-0.0103405187541,1.64277853917,0.048137894826,1.69091643399,0,0,0.829976773953,-0.0116130236843,-1.30085520134e-09,3.25213798363e-07,0.829976773953,0.830000057142,1.26813219984e-05,-0.0116130236843,0.853391913014,0.00135115124009,0.0234151390614,0.0129641749244,0.238590368514,1.69091643399,1.69091643399,0.830000029828,1.44722008942e-05,-2.06801537753e-05,-0.0103405187541,-2.06801537753e-05,-0.0103405187541,0,0,0
2,0.004,1,-0.400092512369,0,-3.53739094734,0,0,-3.53739094734,0,-3.53739094734,-3.53739094734,200,0,-0.400000071428,-1.58516524891e-05,-0.400092502636,-0.0344426139756,9.24312085095e-05,0.0344267623231,-3.54003132749,0.00181238053274,-3.53739097421,-2.04437715543e-05,-0.00255547144429,-0.399990483803,0.00236973883862,2.26373031431e-09,-5.65932581281e-07,-0.400010927575,-0.400000100014,-1.25955090443e-05,-0.000185732605672,-0.42947501088,-0.000752725138797,-0.0294640833051,-0.000566992533125,0.00430917936253,-3.53739097421,-3.53739097421,-0.400000071428,-1.58516524891e-05,9.24312085095e-05,0.0344267623231,9.24312085095e-05,0.0344267623231,-0.00082797274795,0,0
2,0.004,2,0.830106079578,0,1.67137300968,0,0,1.67137300968,0,1.67137300968,1.67137300968,300,0,0.830000057142,1.26813219984e-05,0.830106099194,0.042694605843,-0.000106042051535,-0.042681924521,1.64269100294,0.0303051859028,1.67137297224,2.37254558104e-05,0.00395424263507,0.829954502267,-0.0111358429473,-1.81098425145e-09,4.52746070602e-07,0.829978227723,0.830000080011,1.00764072409e-05,-0.0071816003122,0.853367580544,0.00134796837353,0.0233893528214,0.00852956868573,0.142722498967,1.67137297224,1.67137297224,0.830000057142,1.26813219984e-05,-0.000106042051535,-0.042681924521,-0.000106042051535,-0.042681924521,0.0016232166017,0,0
3,0.006,1,-0.40020596981,0,-3.50924086571,0,0,-3.50924086571,0,-3.50924086571,-3.50924086571,200,0,-0.400000100014,-1.25955090443e-05,-0.400205957878,-0.0567276210891,0.000205857864074,0.05671502558,-3.53974385925,0.0283941388348,-3.50924084941,-6.07784212432e-05,-0.00642178579102,-0.400011281803,-0.000177114246947,2.67268651655e-09,-6.68171625637e-07,-0.400072060225,-0.400000121365,-8.67069328498e-06,-0.00659890003797,-0.429461977909,-0.00074914245642,-0.0293899176846,0.00584975758155,0.0396439502733,-3.50924084941,-3.50924084941,-0.400000100014,-1.25955090443e-05,0.000205857864074,0.05671502558,0.000205857864074,0.05671502558,-0.00210887100104,0,0
3,0.006,2,0.830254673958,0,1.62638545036,0,0,1.62638545036,0,1.62638545036,1.62638545036,300,0,0.830000080011,1.00764072409e-05,0.830254684529,0.0742926677909,-0.000254604517826,-0.0742825913837,1.64263182031,-0.0123721364358,1.62638543684,7.14231399474e-05,0.00937314137145,0.829964435412,-0.00689615531426,-2.13814910222e-09,5.34537277159e-07,0.830035858552,0.830000097092,6.93655463142e-06,0.00247698605719,0.853334707784,0.00134348370852,0.0232988492319,-0.00113350234867,-0.0767321306374,1.62638543684,1.62638543684,0.830000080011,1.00764072409e-05,-0.000254604517826,-0.0742825913837,-0.000254604517826,-0.0742825913837,0.00387424704349,0,0
4,0.008,1,-0.400362938643,0,-3.46535611153,0,0,-3.46535611153,0,-3.46535611153,-3.46535611153,200,0,-0.400000121365,-8.67069328498e-06,-0.400362953168,-0.0784976449653,0.000362831803588,0.078488974272,-3.53958758923,0.0710243378807,-3.46535619438,-0.00010248415277,-0.0096653483683,-0.400085099449,-0.00651961213742,2.87619544848e-09,-7.19048855813e-07,-0.400187583602,-0.400000134461,-4.39119047184e-06,-0.0161849605057,-0.429451551989,-0.000744956458902,-0.0292639683877,0.0154400040468,0.0946324321383,-3.46535619438,-3.46535619438,-0.400000121365,-8.67069328498e-06,0.000362831803588,0.078488974272,0.000362831803588,0.078488974272,-0.0032070569688,0,0
4,0.008,2,0.830464243889,0,1.56051039696,0,0,1.56051039696,0,1.56051039696,1.56051039696,300,0,0.830000097092,6.93655463142e-06,0.830464270591,0.104793031101,-0.000464173499694,-0.104786094546,1.64259835557,-0.0763230675481,1.56051034369,0.000125308341743,0.0138641368492,0.830040505595,0.00232352179591,-2.30095642539e-09,5.75239095341e-07,0.830165813937,0.830000107569,3.51295237871e-06,0.0161876586451,0.8533073263,0.00133877822366,0.0231415123625,-0.0148488804215,-0.397140808135,1.56051034369,1.56051034369,0.830000097092,6.93655463142e-06,-0.000464173499694,-0.104786094546,-0.000464173499694,-0.104786094546,0.00576494433774,0,0
5,0.01,1,-0.400562167168,0,-3.4082467556,0,0,-3.4082467556,0,-3.4082467556,-3.4082467556,200,0,-0.400000134461,-4.39119047184e-06,-0.400562176818,-0.0996118250784,0.000562042357071,0.0996074338879,-3.53954820534,0.127236971652,-3.40824684476,-0.0001365145032,-0.0121828180395,-0.400219574993,-0.0159956956414,2.8975154498e-09,-7.24378865662e-07,-0.400356089496,-0.40000013888,-3.60986144528e-08,-0.028178513681,-0.429444097121,-0.000740490256975,-0.0290880076253,0.027438023424,0.165994095829,-3.40824684476,-3.40824684476,-0.400000134461,-4.39119047184e-06,0.000562042357071,0.0996074338879,0.000562042357071,0.0996074338879,-0.00406438892147,0,0
5,0.01,2,0.830732107162,0,1.47853553295,0,0,1.47853553295,0,1.47853553295,1.47853553295,300,0,0.830000107569,3.51295237871e-06,0.830732079753,0.133904581045,-0.000731972184444,-0.133901068092,1.64258794737,-0.15681431769,1.47853550689,0.000173697427431,0.017335380727,0.830196600691,0.0153933770289,-2.31801233763e-09,5.7950309657e-07,0.830370298119,0.830000111104,2.88788905447e-08,0.0327287577558,0.853286211662,0.00133414747197,0.0229159135432,-0.0313946102838,-0.794517948865,1.47853550689,1.47853550689,0.830000107569,3.51295237871e-06,-0.000731972184444,-0.133901068092,-0.000731972184444,-0.133901068092,0.00723812278878,0,0
6,0.012,1,-0.400802105665,0,-3.34029269218,0,0,-3.34029269218,0,-3.34029269218,-3.34029269218,200,0,-0.40000013888,-3.60986144528e-08,-0.400802095975,-0.11995957857,0.00080195709574,0.119959542471,-3.53961136976,0.194609660499,-3.34029272294,-0.000162034322328,-0.0140762778555,-0.400411782547,-0.0278465254893,2.75990458265e-09,-6.8997614442e-07,-0.400573816869,-0.400000134719,4.15037152883e-06,-0.0419228033448,-0.429439259291,-0.000736014108908,-0.0288654424221,0.0411867892359,0.250649317429,-3.34029272294,-3.34029272294,-0.40000013888,-3.60986144528e-08,0.00080195709574,0.119959542471,0.00080195709574,0.119959542471,-0.00470898632363,0,0
