cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.523079991341,0,-0.20000000298,0,0,-0.20000000298,0,-0.20000000298,0,-0.52308,0,-0.52308,0,0,-0.00421921584824,-5.42478037477,0,-0.2,0,0,-0.52308,0,-1.45471412694e-11,3.63679208488e-09,-0.52308,-0.523080000011,-1.6448834841e-08,0,-0.568208155631,-0.00188033981794,-0.0451281556307,-0.00188033981794,5.19833872031,-0.2,-5.42478037477,-0.52308,-0.00421921584824,0,-0.00421921584824,0,0,0,4,0
0,0,2,0.778850018978,0,0.20000000298,0,0,0.20000000298,-0,0.20000000298,0,0.77885,0,0.77885,0,0,0.00527401081489,1.41891908035,0,0.2,0,0,0.77885,0,1.81838988311e-11,-4.54597841752e-09,0.77885,0.778850000014,2.05610084822e-08,0,0.790653832904,0.000491826371007,0.0118038329042,0.000491826371007,-4.87277582942,0.2,1.41891908035,0.77885,0.00527401081489,0,0.00527401081489,0,0,0,4,0
1,0.002,1,-0.523083269596,0,-0.40000000596,0,0,-0.40000000596,0,-0.40000000596,0,-0.523080000011,-1.6448834841e-08,-0.523083274457,-0.00163722857486,-5.03693091969e-06,-0.00239534266574,-5.42479237927,-0.0544786733623,-0.4,0,0,-0.523059206645,0.0103966774406,-3.24645865746e-11,8.11614846324e-09,-0.523059206645,-0.523080000085,-6.1231497558e-08,0.0103966774406,-0.568208255506,-0.00188036042779,-0.0451490488608,-0.0122770378684,4.98869610093,-0.4,-5.47927105264,-0.523088311388,-0.0040325712406,-5.03693091969e-06,-0.00239534266574,3.27444607284e-06,0.00163721212603,0,4,0
1,0.002,2,0.778856277466,0,0.40000000596,0,0,0.40000000596,-0,0.40000000596,0,0.778850000014,2.05610084822e-08,0.778856258709,0.00312935455325,4.13050826031e-06,0.00191135090002,1.41892283044,0.0510667951589,0.4,0,0,0.778830508897,-0.00974555165884,4.05807609738e-11,-1.01451883228e-08,0.778830508897,0.778850000106,7.65392414016e-08,-0.00974555165884,0.790653864115,0.000491848231872,0.0118233552179,0.0102373998907,-4.03394709791,0.4,1.4699896256,0.778860389217,0.00504070545327,4.13050826031e-06,0.00191135090002,-6.25869526039e-06,-0.00312933399224,0,4,0
2,0.004,1,-0.523093044758,0,-0.600000023842,0,0,-0.600000023842,0,-0.600000023842,0,-0.523080000085,-6.1231497558e-08,-0.523093059376,-0.00489245966379,-2.86283431128e-06,0.00135890351999,-5.42479958952,-0.0940147018823,-0.6,-2.04576402264e-05,-0.00255720502829,-0.523018458506,0.0203740696425,-4.19734247359e-11,1.04933563737e-08,-0.523038916146,-0.523080000267,-1.226475871e-07,0.0178168646142,-0.568196657897,-0.00187992197367,-0.0451577417509,-0.0196967865879,4.78202241781,-0.6,-5.51741294305,-0.523095922211,-0.0035335561438,-2.86283431128e-06,0.00135890351999,1.30592916343e-05,0.00489239843229,-0.0014013483555,4,0
2,0.004,2,0.77887493372,0,0.600000023842,0,0,0.600000023842,-0,0.600000023842,0,0.778850000106,7.65392414016e-08,0.778874946864,0.00934407737879,-5.04413432456e-06,-0.00492713973262,1.41892511569,0.0826369291251,0.6,1.75098724485e-05,0.00218873405606,0.778794882005,-0.0178134458547,5.24665866308e-11,-1.31166453122e-08,0.778812391877,0.778850000334,1.5330922239e-07,-0.0156247117986,0.790643905321,0.000491489256546,0.0118315134439,0.0161162010552,-3.21059902452,0.6,1.50036261855,0.77886990273,0.00441693764617,-5.04413432456e-06,-0.00492713973262,-2.49467578106e-05,-0.00934400083955,0.00119942626272,4,0
3,0.006,1,-0.523112535477,0,-0.800000011921,0,0,-0.800000011921,0,-0.800000011921,0,-0.523080000267,-1.226475871e-07,-0.523112552772,-0.00974669778685,1.02582032834e-05,0.00693898178386,-5.42480030484,-0.116469265446,-0.8,-4.90903918885e-05,-0.00520931216331,-0.522984154327,0.0273809094498,-4.07868183672e-11,1.01966985532e-08,-0.523033244719,-0.523080000576,-1.85062752546e-07,0.0221715972865,-0.568184203579,-0.00187946445223,-0.0451509588596,-0.0240510617387,4.57861695599,-0.8,-5.53837037185,-0.523102294569,-0.002807716003,1.02582032834e-05,0.00693898178386,3.2552504873e-05,0.00974657513927,-0.00289919843299,4,0
3,0.006,2,0.778912127018,0,0.800000011921,0,0,0.800000011921,-0,0.800000011921,0,0.778850000334,1.5330922239e-07,0.778912148329,0.0186007325573,-3.42801655513e-05,-0.0150910935396,1.41892539603,0.0917496629933,0.8,4.51638716483e-05,0.00457300426857,0.778768300058,-0.0220459098477,5.09834396922e-11,-1.27458711988e-08,0.778813463929,0.77885000072,2.31328046127e-07,-0.0174729055791,0.790632610336,0.000491095392644,0.0118191464067,0.0179640009717,-2.40370416803,0.8,1.50811757366,0.778877868163,0.00350963901767,-3.42801655513e-05,-0.0150910935396,-6.21479950066e-05,-0.0186005792481,0.00255748536417,4,0
4,0.008,1,-0.523144900799,0,-1,0,0,-1,0,-1,0,-0.523080000576,-1.85062752546e-07,-0.523144915086,-0.0161811571736,3.786120975e-05,0.0142483377689,-5.42479400029,-0.122981482545,-1,-7.47754038349e-05,-0.00756403452758,-0.522970587057,0.0313288311985,-2.84383627758e-11,7.10958723709e-09,-0.52304536246,-0.523080000997,-2.31712083585e-07,0.0237647966709,-0.568173075077,-0.00187906316695,-0.0451277126163,-0.0256438598378,4.37822466606,-1,-5.54354481315,-0.523107053877,-0.00193281940471,3.786120975e-05,0.0142483377689,6.49145102749e-05,0.0161809721108,-0.0042306696868,4,0
4,0.008,2,0.77897387743,0,1,0,0,1,-0,1,0,0.77885000072,2.31328046127e-07,0.778973861097,0.0308563838328,-9.00438085132e-05,-0.0284403636977,1.41892349354,0.0781764741343,1,7.38799724782e-05,0.00681846912347,0.778768903302,-0.0222803139151,3.55477869363e-11,-8.88695352831e-09,0.778842783274,0.778850001246,2.89639610469e-07,-0.0154618447917,0.790621821691,0.000490723868478,0.0117790384165,0.0159525686602,-1.61273607359,1,1.49324745328,0.778883817288,0.00241602013509,-9.00438085132e-05,-0.0284403636977,-0.000123860376491,-0.0308561525048,0.0038525143966,4,0
5,0.01,1,-0.523193240166,0,-1.20000004768,0,0,-1.20000004768,0,-1.20000004768,0,-0.523080000997,-2.31712083585e-07,-0.523193269573,-0.0241772431982,8.32962634089e-05,0.0231983851214,-5.42478114414,-0.114953185017,-1.2,-9.58360425998e-05,-0.00962312037109,-0.522980319968,0.032521246003,-5.98521232575e-12,1.49630517091e-09,-0.523076156011,-0.523080001482,-2.47060544964e-07,0.0228981256319,-0.568163352687,-0.00187870469916,-0.0450871966755,-0.0247768303311,4.18055864624,-1.2,-5.53434775272,-0.523109973309,-0.000978858076791,8.32962634089e-05,0.0231983851214,0.000113268575905,0.0241770114861,-0.00538657644115,4,0
