cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414727598429,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414727597143,-0.0481433215078,0.000325133963637,0.0485777194452,-3.76503108757,0.16475017322,-1.8,-7.05544164591e-05,-0.0131520618598,-0.414627125692,-0.0126536329834,2.13670747762e-11,-5.34177393538e-09,-0.414697680109,-0.414400000246,5.63492049257e-08,-0.0258056948432,-0.445604429077,-0.00130015949241,-0.0309067489687,0.0245055353508,1.98536945673,-1.8,-3.58628219949,-0.41440246318,0.000434397937324,0.000325133963637,0.0485777194452,0.000327596816186,0.0481433465467,-0.0139987148573,4,0
10,0.02,2,0.643571376801,0,0.456263303757,0,0,0.643000000409,-3.12984354504e-08,0.643571375308,0.0778338936961,-0.000568296347785,-0.0783768887018,0.807488995555,-0.336633257628,0.456263305964,7.36493829956e-05,0.0137086393669,0.643466216628,0.0406612064151,-2.67087463257e-11,6.67718928406e-09,0.643539866011,0.643000000308,-7.04361927704e-08,0.054369845782,0.649596020348,0.000274802865721,0.00605615433788,-0.0540950429163,-1.63129743781,0.456263305964,0.456263305964,0.643003078961,-0.000542995005749,-0.000568296347785,-0.0783768887018,-0.000571374899774,-0.0778339249945,0.0145924319628,4,0
20,0.04,1,-0.41692918539,0,-2.74134540558,0,0,-0.414399997759,3.83562947459e-08,-0.416929194854,-0.164595994141,0.00253343381363,0.164457559633,-3.76508231777,1.00845653844,-2.74134535367,-7.58247634094e-05,-0.0143705284946,-0.416823278583,-0.127342206737,-6.35007602057e-11,1.58751939653e-08,-0.416899103347,-0.414399997771,-5.3598054414e-08,-0.141712735231,-0.445594190276,-0.00129971966524,-0.0286950869292,0.140413015566,1.19805984978,-2.74134535367,-2.74134535367,-0.41439576104,-0.000138434507498,0.00253343381363,0.164457559633,0.00252919709423,0.164596032497,-0.0152804256555,4,0
20,0.04,2,0.64622014761,0,-0.305431723595,0,0,0.642999997199,-4.79451551097e-08,0.64622012223,0.167517933867,-0.00322542090678,-0.167344891502,0.807504918592,-1.09627430097,-0.305431728741,8.25498154365e-05,0.0156717485727,0.646105083432,0.127079798523,7.93756171902e-11,-1.98439139138e-08,0.646187633247,0.642999997214,6.69972699349e-08,0.142751547095,0.649578930209,0.000274074263591,0.00339129696182,-0.142477472832,-5.07793868582,-0.305431728741,-0.305431728741,0.642994701323,0.000173042364471,-0.00322542090678,-0.167344891502,-0.00322012503109,-0.167517981812,0.016662346358,4,0
30,0.06,1,-0.421136200428,0,-1.83164083958,0,0,-0.414399972952,9.98840577442e-06,-0.421136196927,-0.23829685516,0.00675904139994,0.245976671414,-3.76276339311,1.92095384331,-1.8316408096,-5.04246407951e-05,-0.00956364451294,-0.421065591661,-0.213432095354,3.79151715579e-09,-9.47879284879e-07,-0.421116016302,-0.414399947731,1.54540247282e-05,-0.222995739867,-0.445617398141,-0.00129073764376,-0.0245013818393,0.221705002223,2.24901907139,-1.8316408096,-1.8316408096,-0.414377155527,0.00767981625359,0.00675904139994,0.245976671414,0.00673622397509,0.238306843566,-0.0101687402025,4,0
30,0.06,2,0.649606883526,0,-0.705821633339,0,0,0.64299996619,-1.24855124484e-05,0.649606896539,0.15742191191,-0.00663545216353,-0.167021685546,0.806774129055,-1.50247598259,-0.705821610632,5.00134437178e-05,0.00951959577418,0.649537130737,0.132870843465,-4.73939687495e-09,1.18484921167e-06,0.64958714418,0.642999934664,-1.93175367157e-05,0.142390439239,0.649627246927,0.000263651184937,4.01027470026e-05,-0.142126788054,-6.73914999615,-0.705821610632,-0.705821610632,0.642971444376,-0.00959977363577,-0.00663545216353,-0.167021685546,-0.00660693034931,-0.157434397423,0.0101197570988,4,0
40,0.08,1,-0.426235646009,0,-1.07274353504,0,0,-0.41439880784,0.000131973284938,-0.426235638996,-0.26318989185,0.0124045783336,0.31207728789,-3.756392538,2.67592287055,-1.0727435243,-3.84991710546e-05,-0.00726415310331,-0.4261814369,-0.244081370192,1.37005730649e-08,-3.42514326038e-06,-0.426219936071,-0.414398523762,0.00015231472383,-0.251345523296,-0.445583554279,-0.00116739115002,-0.0193636182086,0.250178132146,3.11084639539,-1.0727435243,-1.0727435243,-0.413831060663,0.04888739604,0.0124045783336,0.31207728789,0.0118368311562,0.263321865135,-0.00772614315597,4,0
40,0.08,2,0.652091801167,0,-0.708977162838,0,0,0.6429985098,-0.000164966618242,0.652091824268,0.0936130575448,-0.00980299853908,-0.154722305892,0.80467656856,-1.5068237679,-0.708977157291,3.39087599333e-05,0.00642305283077,0.652044278869,0.0768644662496,-1.71257168446e-08,4.28142920167e-06,0.652078187629,0.642998154702,-0.00019039341767,0.0832875190804,0.649635708641,0.000111583333443,-0.00244247898797,-0.083175935747,-6.56093350978,-0.708977157291,-0.708977157291,0.642288825729,-0.061109248347,-0.00980299853908,-0.154722305892,-0.00909331446805,-0.0937780241631,0.00682995794997,4,0
